kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_balita_stunting,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_nakes_gizi
3212,KABUPATEN INDRAMAYU,2018,25558,11.89,447378,70.54,37
3212,KABUPATEN INDRAMAYU,2019,19458,11.11,458240,80,37
3212,KABUPATEN INDRAMAYU,2020,11166,12.7,474807,98.8,53
3212,KABUPATEN INDRAMAYU,2021,5208,13.04,481754,82.06,50
3212,KABUPATEN INDRAMAYU,2022,3797,12.77,499805,91.84,45
3212,KABUPATEN INDRAMAYU,2023,3440,12.13,532545,96,46
3212,KABUPATEN INDRAMAYU,2024,2488,11.93,560159,"97,96",50
3276,KOTA DEPOK,2018,6751,2.14,615255,87.93,38
3276,KOTA DEPOK,2019,5241,2.07,644860,173,38
3276,KOTA DEPOK,2020,6425,2.45,688194,92,37
3276,KOTA DEPOK,2021,3726,2.58,705084,90.29,46
3276,KOTA DEPOK,2022,3637,2.53,744771,99.26,48
3276,KOTA DEPOK,2023,3283,2.38,804984,99.09,50
3276,KOTA DEPOK,2024,3377,2.34,843893,"99,46",50
