kode_kabupaten_kota,nama_kabupaten_kota,tahun,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_nakes_gizi,jumlah_balita_stunting,Prediksi Random Forest,Prediksi Linear Regression
3212,KABUPATEN INDRAMAYU,2018,11.89,447378,70.54,37,25558,20724.0,17371.0
3212,KABUPATEN INDRAMAYU,2019,11.11,458240,80.0,37,19458,16983.0,16413.0
3212,KABUPATEN INDRAMAYU,2020,12.7,474807,98.8,53,11166,10358.0,6589.0
3212,KABUPATEN INDRAMAYU,2021,13.04,481754,82.06,50,5208,7806.0,9003.0
3212,KABUPATEN INDRAMAYU,2022,12.77,499805,91.84,45,3797,4858.0,10044.0
3212,KABUPATEN INDRAMAYU,2023,12.13,532545,96.0,46,3440,4103.0,8266.0
3276,KOTA DEPOK,2018,2.14,615255,87.93,38,6751,6355.0,11644.0
3276,KOTA DEPOK,2019,2.07,644860,173.0,38,5241,5432.0,4087.0
3276,KOTA DEPOK,2020,2.45,688194,92.0,37,6425,7090.0,9299.0
3276,KOTA DEPOK,2021,2.58,705084,90.29,46,3726,3841.0,4604.0
3276,KOTA DEPOK,2022,2.53,744771,99.26,48,3637,3655.0,1646.0
3276,KOTA DEPOK,2023,2.38,804984,99.09,50,3283,3721.0,-1275.0
